path_a,path_b,label_a,label_b,cross_label,phash_hamming,dhash_hamming,ssim,exact_sha_match,confirmed_near_duplicate
4. Helopeltis/helopeltis_00054.jpg,6. Green mirid bug/green_mirid_bug_00069.jpg,4. Helopeltis,6. Green mirid bug,True,64,44,0.94995,False,True
4. Helopeltis/helopeltis_00064.jpg,6. Green mirid bug/green_mirid_bug_00069.jpg,4. Helopeltis,6. Green mirid bug,True,52,44,0.94885,False,True
6. Green mirid bug/green_mirid_bug_00418.jpg,7. Healthy leaf/healthy_00195.jpg,6. Green mirid bug,7. Healthy leaf,True,54,39,0.9488,False,True
4. Helopeltis/helopeltis_00107.jpg,7. Healthy leaf/healthy_00195.jpg,4. Helopeltis,7. Healthy leaf,True,54,47,0.94812,False,True
4. Helopeltis/helopeltis_00107.jpg,7. Healthy leaf/healthy_00198.jpg,4. Helopeltis,7. Healthy leaf,True,60,46,0.94703,False,True
6. Green mirid bug/green_mirid_bug_00418.jpg,7. Healthy leaf/healthy_00198.jpg,6. Green mirid bug,7. Healthy leaf,True,62,44,0.94516,False,True
4. Helopeltis/helopeltis_00064.jpg,6. Green mirid bug/green_mirid_bug_00152.jpg,4. Helopeltis,6. Green mirid bug,True,64,46,0.94222,False,True
4. Helopeltis/helopeltis_00107.jpg,6. Green mirid bug/green_mirid_bug_00456.jpg,4. Helopeltis,6. Green mirid bug,True,50,48,0.942,False,True
6. Green mirid bug/green_mirid_bug_00402.jpg,7. Healthy leaf/healthy_00215.jpg,6. Green mirid bug,7. Healthy leaf,True,54,48,0.94152,False,True
4. Helopeltis/helopeltis_00095.jpg,6. Green mirid bug/green_mirid_bug_00418.jpg,4. Helopeltis,6. Green mirid bug,True,62,44,0.94132,False,True
4. Helopeltis/helopeltis_00070.jpg,6. Green mirid bug/green_mirid_bug_00069.jpg,4. Helopeltis,6. Green mirid bug,True,42,34,0.94126,False,True
4. Helopeltis/helopeltis_00070.jpg,7. Healthy leaf/healthy_00217.jpg,4. Helopeltis,7. Healthy leaf,True,54,41,0.93814,False,True
6. Green mirid bug/green_mirid_bug_00447.jpg,7. Healthy leaf/healthy_00284.jpg,6. Green mirid bug,7. Healthy leaf,True,58,45,0.93716,False,True
4. Helopeltis/helopeltis_00107.jpg,6. Green mirid bug/green_mirid_bug_00449.jpg,4. Helopeltis,6. Green mirid bug,True,58,47,0.93677,False,True
3. Gray Blight/gray_blight_00200.jpg,6. Green mirid bug/green_mirid_bug_00454.jpg,3. Gray Blight,6. Green mirid bug,True,52,39,0.93437,False,True
4. Helopeltis/helopeltis_00061.jpg,7. Healthy leaf/healthy_00265.jpg,4. Helopeltis,7. Healthy leaf,True,48,46,0.93422,False,True
4. Helopeltis/helopeltis_00106.jpg,7. Healthy leaf/healthy_00277.jpg,4. Helopeltis,7. Healthy leaf,True,44,42,0.93137,False,True
3. Gray Blight/gray_blight_00198.jpg,6. Green mirid bug/green_mirid_bug_00407.jpg,3. Gray Blight,6. Green mirid bug,True,46,47,0.92487,False,True
4. Helopeltis/helopeltis_00066.jpg,6. Green mirid bug/green_mirid_bug_00401.jpg,4. Helopeltis,6. Green mirid bug,True,46,48,0.92466,False,True
6. Green mirid bug/green_mirid_bug_00107.jpg,7. Healthy leaf/healthy_00277.jpg,6. Green mirid bug,7. Healthy leaf,True,54,46,0.92356,False,True
4. Helopeltis/helopeltis_00112.jpg,6. Green mirid bug/green_mirid_bug_00447.jpg,4. Helopeltis,6. Green mirid bug,True,60,36,0.92215,False,True
4. Helopeltis/helopeltis_00106.jpg,7. Healthy leaf/healthy_00276.jpg,4. Helopeltis,7. Healthy leaf,True,48,38,0.91978,False,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00084.jpg,7. Healthy leaf/healthy_00283.jpg,1. Tea algal leaf spot,7. Healthy leaf,True,62,44,0.9181,False,True
