group_id,size,n_distinct_labels,cross_label,labels,members
G00001,2,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00136.jpg|1. Tea algal leaf spot/tea_algal_leaf_spot_00137.jpg
G00002,2,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00144.jpg|1. Tea algal leaf spot/tea_algal_leaf_spot_00145.jpg
G00003,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00094.jpg|2. Brown Blight/brown_blight_00095.jpg
G00004,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00096.jpg|2. Brown Blight/brown_blight_00097.jpg
G00005,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00108.jpg|2. Brown Blight/brown_blight_00109.jpg
G00006,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00118.jpg|2. Brown Blight/brown_blight_00119.jpg
G00007,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00121.jpg|2. Brown Blight/brown_blight_00122.jpg
G00008,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00168.jpg|2. Brown Blight/brown_blight_00170.jpg
G00009,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00253.jpg|2. Brown Blight/brown_blight_00254.jpg
G00010,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00270.jpg|2. Brown Blight/brown_blight_00271.jpg
G00011,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00284.jpg|2. Brown Blight/brown_blight_00285.jpg
G00012,2,1,False,2. Brown Blight,2. Brown Blight/brown_blight_00472.jpg|2. Brown Blight/brown_blight_00473.jpg
G00013,2,1,False,3. Gray Blight,3. Gray Blight/gray_blight_00293.jpg|3. Gray Blight/gray_blight_00294.jpg
G00014,2,1,False,3. Gray Blight,3. Gray Blight/gray_blight_00295.jpg|3. Gray Blight/gray_blight_00296.jpg
G00015,2,1,False,3. Gray Blight,3. Gray Blight/gray_blight_00360.jpg|3. Gray Blight/gray_blight_00361.jpg
G00016,2,1,False,3. Gray Blight,3. Gray Blight/gray_blight_00363.jpg|3. Gray Blight/gray_blight_00364.jpg
G00017,2,1,False,3. Gray Blight,3. Gray Blight/gray_blight_00493.jpg|3. Gray Blight/gray_blight_00494.jpg
G00018,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00054.jpg|4. Helopeltis/helopeltis_00055.jpg
G00019,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00143.jpg|4. Helopeltis/helopeltis_00144.jpg
G00020,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00150.jpg|4. Helopeltis/helopeltis_00151.jpg
G00021,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00178.jpg|4. Helopeltis/helopeltis_00179.jpg
G00022,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00210.jpg|4. Helopeltis/helopeltis_00211.jpg
G00023,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00232.jpg|4. Helopeltis/helopeltis_00233.jpg
G00024,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00263.jpg|4. Helopeltis/helopeltis_00264.jpg
G00025,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00290.jpg|4. Helopeltis/helopeltis_00291.jpg
G00026,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00458.jpg|4. Helopeltis/helopeltis_00459.jpg
G00027,2,1,False,4. Helopeltis,4. Helopeltis/helopeltis_00547.jpg|4. Helopeltis/helopeltis_00548.jpg
G00028,2,1,False,5. Red spider,5. Red spider/red_spider_00076.jpg|5. Red spider/red_spider_00077.jpg
G00029,2,1,False,5. Red spider,5. Red spider/red_spider_00101.jpg|5. Red spider/red_spider_00102.jpg
G00030,2,1,False,5. Red spider,5. Red spider/red_spider_00129.jpg|5. Red spider/red_spider_00130.jpg
G00031,2,1,False,5. Red spider,5. Red spider/red_spider_00226.jpg|5. Red spider/red_spider_00227.jpg
G00032,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00388.jpg|6. Green mirid bug/green_mirid_bug_00389.jpg
G00033,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00487.jpg|6. Green mirid bug/green_mirid_bug_00488.jpg
G00034,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00515.jpg|6. Green mirid bug/green_mirid_bug_00516.jpg
G00035,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00521.jpg|6. Green mirid bug/green_mirid_bug_00522.jpg
G00036,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00580.jpg|6. Green mirid bug/green_mirid_bug_00581.jpg
G00037,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00647.jpg|6. Green mirid bug/green_mirid_bug_00648.jpg
G00038,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00650.jpg|6. Green mirid bug/green_mirid_bug_00651.jpg
G00039,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00689.jpg|6. Green mirid bug/green_mirid_bug_00690.jpg
G00040,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00801.jpg|6. Green mirid bug/green_mirid_bug_00803.jpg
G00041,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_00816.jpg|6. Green mirid bug/green_mirid_bug_00817.jpg
G00042,2,1,False,6. Green mirid bug,6. Green mirid bug/green_mirid_bug_01072.jpg|6. Green mirid bug/green_mirid_bug_01073.jpg
G00043,2,1,False,7. Healthy leaf,7. Healthy leaf/healthy_00293.jpg|7. Healthy leaf/healthy_00294.jpg
G00044,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00001.jpg
G00045,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00002.jpg
G00046,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00003.jpg
G00047,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00004.jpg
G00048,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00005.jpg
G00049,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00006.jpg
G00050,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00007.jpg
G00051,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00008.jpg
G00052,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00009.jpg
G00053,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg
G00054,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00011.jpg
G00055,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00012.jpg
G00056,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00013.jpg
G00057,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00014.jpg
G00058,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00015.jpg
G00059,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00016.jpg
G00060,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00017.jpg
G00061,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00018.jpg
G00062,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00019.jpg
G00063,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00020.jpg
G00064,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00021.jpg
G00065,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00022.jpg
G00066,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00023.jpg
G00067,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00024.jpg
G00068,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00025.jpg
G00069,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00026.jpg
G00070,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00027.jpg
G00071,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00028.jpg
G00072,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00029.jpg
G00073,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00030.jpg
G00074,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00031.jpg
G00075,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00032.jpg
G00076,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg
G00077,1,1,False,1. Tea algal leaf spot,1. Tea algal leaf spot/tea_algal_leaf_spot_00034.jpg
