relative_path,class_folder_raw,group_id
1. Tea algal leaf spot/tea_algal_leaf_spot_00001.jpg,1. Tea algal leaf spot,G00044
1. Tea algal leaf spot/tea_algal_leaf_spot_00002.jpg,1. Tea algal leaf spot,G00045
1. Tea algal leaf spot/tea_algal_leaf_spot_00003.jpg,1. Tea algal leaf spot,G00046
1. Tea algal leaf spot/tea_algal_leaf_spot_00004.jpg,1. Tea algal leaf spot,G00047
1. Tea algal leaf spot/tea_algal_leaf_spot_00005.jpg,1. Tea algal leaf spot,G00048
1. Tea algal leaf spot/tea_algal_leaf_spot_00006.jpg,1. Tea algal leaf spot,G00049
1. Tea algal leaf spot/tea_algal_leaf_spot_00007.jpg,1. Tea algal leaf spot,G00050
1. Tea algal leaf spot/tea_algal_leaf_spot_00008.jpg,1. Tea algal leaf spot,G00051
1. Tea algal leaf spot/tea_algal_leaf_spot_00009.jpg,1. Tea algal leaf spot,G00052
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,1. Tea algal leaf spot,G00053
1. Tea algal leaf spot/tea_algal_leaf_spot_00011.jpg,1. Tea algal leaf spot,G00054
1. Tea algal leaf spot/tea_algal_leaf_spot_00012.jpg,1. Tea algal leaf spot,G00055
1. Tea algal leaf spot/tea_algal_leaf_spot_00013.jpg,1. Tea algal leaf spot,G00056
1. Tea algal leaf spot/tea_algal_leaf_spot_00014.jpg,1. Tea algal leaf spot,G00057
1. Tea algal leaf spot/tea_algal_leaf_spot_00015.jpg,1. Tea algal leaf spot,G00058
1. Tea algal leaf spot/tea_algal_leaf_spot_00016.jpg,1. Tea algal leaf spot,G00059
1. Tea algal leaf spot/tea_algal_leaf_spot_00017.jpg,1. Tea algal leaf spot,G00060
1. Tea algal leaf spot/tea_algal_leaf_spot_00018.jpg,1. Tea algal leaf spot,G00061
1. Tea algal leaf spot/tea_algal_leaf_spot_00019.jpg,1. Tea algal leaf spot,G00062
1. Tea algal leaf spot/tea_algal_leaf_spot_00020.jpg,1. Tea algal leaf spot,G00063
1. Tea algal leaf spot/tea_algal_leaf_spot_00021.jpg,1. Tea algal leaf spot,G00064
1. Tea algal leaf spot/tea_algal_leaf_spot_00022.jpg,1. Tea algal leaf spot,G00065
1. Tea algal leaf spot/tea_algal_leaf_spot_00023.jpg,1. Tea algal leaf spot,G00066
1. Tea algal leaf spot/tea_algal_leaf_spot_00024.jpg,1. Tea algal leaf spot,G00067
1. Tea algal leaf spot/tea_algal_leaf_spot_00025.jpg,1. Tea algal leaf spot,G00068
1. Tea algal leaf spot/tea_algal_leaf_spot_00026.jpg,1. Tea algal leaf spot,G00069
1. Tea algal leaf spot/tea_algal_leaf_spot_00027.jpg,1. Tea algal leaf spot,G00070
1. Tea algal leaf spot/tea_algal_leaf_spot_00028.jpg,1. Tea algal leaf spot,G00071
1. Tea algal leaf spot/tea_algal_leaf_spot_00029.jpg,1. Tea algal leaf spot,G00072
1. Tea algal leaf spot/tea_algal_leaf_spot_00030.jpg,1. Tea algal leaf spot,G00073
1. Tea algal leaf spot/tea_algal_leaf_spot_00031.jpg,1. Tea algal leaf spot,G00074
1. Tea algal leaf spot/tea_algal_leaf_spot_00032.jpg,1. Tea algal leaf spot,G00075
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,1. Tea algal leaf spot,G00076
1. Tea algal leaf spot/tea_algal_leaf_spot_00034.jpg,1. Tea algal leaf spot,G00077
1. Tea algal leaf spot/tea_algal_leaf_spot_00035.jpg,1. Tea algal leaf spot,G00078
1. Tea algal leaf spot/tea_algal_leaf_spot_00036.jpg,1. Tea algal leaf spot,G00079
1. Tea algal leaf spot/tea_algal_leaf_spot_00037.jpg,1. Tea algal leaf spot,G00080
1. Tea algal leaf spot/tea_algal_leaf_spot_00038.jpg,1. Tea algal leaf spot,G00081
1. Tea algal leaf spot/tea_algal_leaf_spot_00039.jpg,1. Tea algal leaf spot,G00082
1. Tea algal leaf spot/tea_algal_leaf_spot_00040.jpg,1. Tea algal leaf spot,G00083
1. Tea algal leaf spot/tea_algal_leaf_spot_00041.jpg,1. Tea algal leaf spot,G00084
1. Tea algal leaf spot/tea_algal_leaf_spot_00042.jpg,1. Tea algal leaf spot,G00085
1. Tea algal leaf spot/tea_algal_leaf_spot_00043.jpg,1. Tea algal leaf spot,G00086
1. Tea algal leaf spot/tea_algal_leaf_spot_00044.jpg,1. Tea algal leaf spot,G00087
1. Tea algal leaf spot/tea_algal_leaf_spot_00045.jpg,1. Tea algal leaf spot,G00088
1. Tea algal leaf spot/tea_algal_leaf_spot_00046.jpg,1. Tea algal leaf spot,G00089
1. Tea algal leaf spot/tea_algal_leaf_spot_00047.jpg,1. Tea algal leaf spot,G00090
1. Tea algal leaf spot/tea_algal_leaf_spot_00048.jpg,1. Tea algal leaf spot,G00091
1. Tea algal leaf spot/tea_algal_leaf_spot_00049.jpg,1. Tea algal leaf spot,G00092
1. Tea algal leaf spot/tea_algal_leaf_spot_00050.jpg,1. Tea algal leaf spot,G00093
1. Tea algal leaf spot/tea_algal_leaf_spot_00051.jpg,1. Tea algal leaf spot,G00094
1. Tea algal leaf spot/tea_algal_leaf_spot_00052.jpg,1. Tea algal leaf spot,G00095
1. Tea algal leaf spot/tea_algal_leaf_spot_00053.jpg,1. Tea algal leaf spot,G00096
1. Tea algal leaf spot/tea_algal_leaf_spot_00054.jpg,1. Tea algal leaf spot,G00097
1. Tea algal leaf spot/tea_algal_leaf_spot_00055.jpg,1. Tea algal leaf spot,G00098
1. Tea algal leaf spot/tea_algal_leaf_spot_00056.jpg,1. Tea algal leaf spot,G00099
1. Tea algal leaf spot/tea_algal_leaf_spot_00057.jpg,1. Tea algal leaf spot,G00100
1. Tea algal leaf spot/tea_algal_leaf_spot_00058.jpg,1. Tea algal leaf spot,G00101
1. Tea algal leaf spot/tea_algal_leaf_spot_00059.jpg,1. Tea algal leaf spot,G00102
1. Tea algal leaf spot/tea_algal_leaf_spot_00060.jpg,1. Tea algal leaf spot,G00103
1. Tea algal leaf spot/tea_algal_leaf_spot_00061.jpg,1. Tea algal leaf spot,G00104
1. Tea algal leaf spot/tea_algal_leaf_spot_00062.jpg,1. Tea algal leaf spot,G00105
1. Tea algal leaf spot/tea_algal_leaf_spot_00063.jpg,1. Tea algal leaf spot,G00106
1. Tea algal leaf spot/tea_algal_leaf_spot_00064.jpg,1. Tea algal leaf spot,G00107
1. Tea algal leaf spot/tea_algal_leaf_spot_00065.jpg,1. Tea algal leaf spot,G00108
1. Tea algal leaf spot/tea_algal_leaf_spot_00066.jpg,1. Tea algal leaf spot,G00109
1. Tea algal leaf spot/tea_algal_leaf_spot_00067.jpg,1. Tea algal leaf spot,G00110
1. Tea algal leaf spot/tea_algal_leaf_spot_00068.jpg,1. Tea algal leaf spot,G00111
1. Tea algal leaf spot/tea_algal_leaf_spot_00069.jpg,1. Tea algal leaf spot,G00112
1. Tea algal leaf spot/tea_algal_leaf_spot_00070.jpg,1. Tea algal leaf spot,G00113
1. Tea algal leaf spot/tea_algal_leaf_spot_00071.jpg,1. Tea algal leaf spot,G00114
1. Tea algal leaf spot/tea_algal_leaf_spot_00072.jpg,1. Tea algal leaf spot,G00115
1. Tea algal leaf spot/tea_algal_leaf_spot_00073.jpg,1. Tea algal leaf spot,G00116
1. Tea algal leaf spot/tea_algal_leaf_spot_00074.jpg,1. Tea algal leaf spot,G00117
