relative_path,class_folder_raw,width,height,size_bytes,laplacian_var_blur,sharpness_flag,mean_brightness,std_contrast,decode_ok,corruption_status,has_exif
1. Tea algal leaf spot/tea_algal_leaf_spot_00001.jpg,1. Tea algal leaf spot,1200,1594,433022,264.863,soft,193.978,66.358,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00002.jpg,1. Tea algal leaf spot,1200,1594,432676,115.335,soft,172.325,57.663,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00003.jpg,1. Tea algal leaf spot,1200,904,198917,152.643,soft,194.605,64.482,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00004.jpg,1. Tea algal leaf spot,1200,904,195637,124.695,soft,199.588,44.176,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00005.jpg,1. Tea algal leaf spot,1200,904,203263,157.454,soft,198.201,61.265,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00006.jpg,1. Tea algal leaf spot,1200,904,164498,107.715,soft,178.443,49.626,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00007.jpg,1. Tea algal leaf spot,1200,1594,370478,131.262,soft,196.728,62.097,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00008.jpg,1. Tea algal leaf spot,1200,1594,334948,134.764,soft,200.633,51.126,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00009.jpg,1. Tea algal leaf spot,1200,1594,299323,82.473,blurry,189.165,40.338,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,1. Tea algal leaf spot,1200,1594,400393,78.819,blurry,184.816,39.73,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00011.jpg,1. Tea algal leaf spot,1200,1594,314331,91.867,blurry,199.943,48.339,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00012.jpg,1. Tea algal leaf spot,1200,1594,306581,120.61,soft,199.216,58.247,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00013.jpg,1. Tea algal leaf spot,1200,1594,210407,59.615,blurry,196.58,44.014,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00014.jpg,1. Tea algal leaf spot,1200,904,204346,164.364,soft,186.536,50.013,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00015.jpg,1. Tea algal leaf spot,1200,904,224830,95.935,blurry,186.019,42.571,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00016.jpg,1. Tea algal leaf spot,1200,904,214995,181.083,soft,198.983,54.978,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00017.jpg,1. Tea algal leaf spot,1200,904,164685,84.965,blurry,191.49,36.334,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00018.jpg,1. Tea algal leaf spot,1200,904,194321,81.952,blurry,185.047,45.054,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00019.jpg,1. Tea algal leaf spot,1200,904,187886,99.259,blurry,192.893,40.055,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00020.jpg,1. Tea algal leaf spot,1200,904,198077,127.298,soft,198.141,41.905,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00021.jpg,1. Tea algal leaf spot,1200,904,188332,80.599,blurry,191.441,34.912,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00022.jpg,1. Tea algal leaf spot,1200,904,168039,70.623,blurry,194.923,35.064,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00023.jpg,1. Tea algal leaf spot,1200,904,190569,64.201,blurry,189.113,35.24,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00024.jpg,1. Tea algal leaf spot,1200,904,196371,184.457,soft,201.508,61.947,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00025.jpg,1. Tea algal leaf spot,1200,904,219311,151.367,soft,197.893,52.651,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00026.jpg,1. Tea algal leaf spot,1200,1594,292441,92.815,blurry,205.665,44.185,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00027.jpg,1. Tea algal leaf spot,1200,904,177598,117.488,soft,199.241,56.343,True,ok,True
1. Tea algal leaf spot/tea_algal_leaf_spot_00028.jpg,1. Tea algal leaf spot,1200,1594,301066,104.041,soft,202.719,48.075,True,ok,True
