path_a,path_b,label_a,label_b,cross_label,phash_hamming,dhash_hamming,ssim,exact_sha_match,passes_pixel_confirmation,is_duplicate_for_grouping
1. Tea algal leaf spot/tea_algal_leaf_spot_00002.jpg,3. Gray Blight/gray_blight_00424.jpg,1. Tea algal leaf spot,3. Gray Blight,True,62,99,0.68975,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00005.jpg,1. Tea algal leaf spot/tea_algal_leaf_spot_00024.jpg,1. Tea algal leaf spot,1. Tea algal leaf spot,False,64,81,0.73432,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00005.jpg,2. Brown Blight/brown_blight_00125.jpg,1. Tea algal leaf spot,2. Brown Blight,True,60,96,0.72736,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00009.jpg,5. Red spider/red_spider_00127.jpg,1. Tea algal leaf spot,5. Red spider,True,60,115,0.81695,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00009.jpg,6. Green mirid bug/green_mirid_bug_00190.jpg,1. Tea algal leaf spot,6. Green mirid bug,True,62,85,0.8265,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,2. Brown Blight/brown_blight_00214.jpg,1. Tea algal leaf spot,2. Brown Blight,True,62,99,0.77759,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,3. Gray Blight/gray_blight_00079.jpg,1. Tea algal leaf spot,3. Gray Blight,True,64,84,0.82907,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,3. Gray Blight/gray_blight_00107.jpg,1. Tea algal leaf spot,3. Gray Blight,True,60,92,0.81413,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,3. Gray Blight/gray_blight_00126.jpg,1. Tea algal leaf spot,3. Gray Blight,True,64,73,0.79206,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,6. Green mirid bug/green_mirid_bug_01262.jpg,1. Tea algal leaf spot,6. Green mirid bug,True,52,107,0.78812,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,7. Healthy leaf/healthy_00022.jpg,1. Tea algal leaf spot,7. Healthy leaf,True,60,95,0.80436,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00011.jpg,5. Red spider/red_spider_00298.jpg,1. Tea algal leaf spot,5. Red spider,True,58,100,0.83123,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00011.jpg,6. Green mirid bug/green_mirid_bug_00892.jpg,1. Tea algal leaf spot,6. Green mirid bug,True,64,118,0.8259,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00011.jpg,7. Healthy leaf/healthy_00334.jpg,1. Tea algal leaf spot,7. Healthy leaf,True,60,109,0.82044,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00013.jpg,1. Tea algal leaf spot/tea_algal_leaf_spot_00274.jpg,1. Tea algal leaf spot,1. Tea algal leaf spot,False,62,85,0.8595,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00013.jpg,3. Gray Blight/gray_blight_00028.jpg,1. Tea algal leaf spot,3. Gray Blight,True,60,92,0.86795,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00013.jpg,7. Healthy leaf/healthy_00077.jpg,1. Tea algal leaf spot,7. Healthy leaf,True,62,91,0.86912,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00016.jpg,2. Brown Blight/brown_blight_00218.jpg,1. Tea algal leaf spot,2. Brown Blight,True,64,88,0.74697,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00017.jpg,1. Tea algal leaf spot/tea_algal_leaf_spot_00034.jpg,1. Tea algal leaf spot,1. Tea algal leaf spot,False,46,55,0.86908,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00022.jpg,5. Red spider/red_spider_00020.jpg,1. Tea algal leaf spot,5. Red spider,True,62,94,0.83769,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00023.jpg,2. Brown Blight/brown_blight_00260.jpg,1. Tea algal leaf spot,2. Brown Blight,True,62,107,0.85023,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00026.jpg,7. Healthy leaf/healthy_00237.jpg,1. Tea algal leaf spot,7. Healthy leaf,True,58,66,0.84867,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,1. Tea algal leaf spot/tea_algal_leaf_spot_00195.jpg,1. Tea algal leaf spot,1. Tea algal leaf spot,False,62,115,0.61321,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,2. Brown Blight/brown_blight_00487.jpg,1. Tea algal leaf spot,2. Brown Blight,True,64,105,0.79393,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,3. Gray Blight/gray_blight_00975.jpg,1. Tea algal leaf spot,3. Gray Blight,True,54,101,0.80059,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,5. Red spider/red_spider_00469.jpg,1. Tea algal leaf spot,5. Red spider,True,64,117,0.79491,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,7. Healthy leaf/healthy_00070.jpg,1. Tea algal leaf spot,7. Healthy leaf,True,62,106,0.81233,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,7. Healthy leaf/healthy_00121.jpg,1. Tea algal leaf spot,7. Healthy leaf,True,58,84,0.81767,False,False,False
1. Tea algal leaf spot/tea_algal_leaf_spot_00036.jpg,4. Helopeltis/helopeltis_00247.jpg,1. Tea algal leaf spot,4. Helopeltis,True,64,100,0.86339,False,False,False
