phash_threshold,threshold_fraction_of_256_bits,confirmed_pairs_linked,total_groups,multi_image_groups,images_in_multi_image_groups,pct_images_grouped,largest_group_size
0,0.0,1,5275,1,2,0.038,2
2,0.0078,1,5275,1,2,0.038,2
4,0.0156,4,5272,4,8,0.152,2
6,0.0234,7,5269,7,14,0.265,2
8,0.0312,8,5268,8,16,0.303,2
10,0.0391,15,5261,15,30,0.569,2
12,0.0469,17,5259,17,34,0.644,2
14,0.0547,22,5254,22,44,0.834,2
16,0.0625,24,5252,24,48,0.91,2
18,0.0703,30,5246,30,60,1.137,2
20,0.0781,33,5243,33,66,1.251,2
22,0.0859,35,5241,35,70,1.327,2
24,0.0938,38,5238,38,76,1.44,2
26,0.1016,39,5237,39,78,1.478,2
28,0.1094,40,5236,40,80,1.516,2
30,0.1172,43,5233,43,86,1.63,2
32,0.125,43,5233,43,86,1.63,2
34,0.1328,43,5233,43,86,1.63,2
36,0.1406,48,5228,47,95,1.801,3
38,0.1484,48,5228,47,95,1.801,3
40,0.1562,50,5226,49,99,1.876,3
42,0.1641,53,5223,52,105,1.99,3
44,0.1719,56,5220,54,110,2.085,3
46,0.1797,60,5216,58,118,2.237,3
48,0.1875,64,5212,61,125,2.369,3
50,0.1953,69,5208,63,131,2.483,4
52,0.2031,79,5198,67,145,2.748,6
54,0.2109,90,5188,70,158,2.995,6
56,0.2188,102,5176,76,176,3.336,8
58,0.2266,112,5168,79,187,3.544,9
60,0.2344,118,5162,82,196,3.715,10
62,0.2422,127,5155,84,205,3.886,12
64,0.25,141,5142,89,223,4.227,12
