dataset_version,relative_path,class_folder_raw,normalized_class,filename,extension,detected_format,mime_type,sha256,size_bytes,width,height,aspect_ratio,megapixels,color_mode,decode_ok,corruption_status,truncated,has_exif,exif_make,exif_model,exif_orientation,exif_datetime,exif_software,icc_profile,jpeg_quality_estimate,is_progressive,mean_brightness,std_contrast,laplacian_var_blur,sharpness_flag,phash16,dhash16,ahash8,whash8,colorhash
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00001.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00001.jpg,.jpg,JPEG,image/jpeg,2e689ef2757f55461ce6701f9c26e8c993aa6e97548082aab0513db5aa4bc832,433022,1200,1594,0.752823,1.9128,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 14:56:00,MediaTek Camera Application,False,,False,193.978,66.358,264.863,soft,b0f4ccd9c30b0c36cd3c34e3ccd073c78ec9332ed98e3332ce76c719cc6131d1,8080c620c9d293eb0373267506744c7e077a07bb02fa067703ff02fe01de09be,ffefc7838383c7ef,ffc78383038383c7,06380001000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00002.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00002.jpg,.jpg,JPEG,image/jpeg,2ca979af9953ccf0872646a2cc6e66fa5409b4089295616da473f31f0351b3e4,432676,1200,1594,0.752823,1.9128,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 14:56:05,MediaTek Camera Application,False,,False,172.325,57.663,115.335,soft,b0d8d98ccb258cd8cc3664c93ce3336633c76336d99c963b599869b199c93647,ce96c556c9a6c1d3826bc671c331c334ceb6c636e636e576e37e51fcc0df40ed,ffefc7c3c3c3c7e7,ffc7c38303434347,072c0001000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00003.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00003.jpg,.jpg,JPEG,image/jpeg,d3ce85f9ddba3b11fe1848badf3698de2949081a681dbd5f2393c2650319d937,198917,1200,904,1.327434,1.0848,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:00:58,MediaTek Camera Application,False,,False,194.605,64.482,152.643,soft,eab8f8e39543871c7abc18e36543615c966b96abdb1c987439f5618a470a263d,81d8007103870c7b107d201f041340470857099f00ff04f7011f107f027f047e,ffffc1c0c1e3ffff,fff7c180c0c0c1e7,060c0002000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00004.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00004.jpg,.jpg,JPEG,image/jpeg,c32544453e75ec19ca52e7f07635c061411711bf2fe74ec3de1eaf7f320e0b99,195637,1200,904,1.327434,1.0848,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:01:03,MediaTek Camera Application,False,,False,199.588,44.176,124.695,soft,f893992187fd66da78829d2da7f2b1f2de2d168b31c2e874663d9782c840687c,00320032007800710cf220dc01de96db479722b6003f487f031e032a30836106,ffffe380c0e3ffff,fff7c38080c0c0fd,06380000000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00005.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00005.jpg,.jpg,JPEG,image/jpeg,72bf05944d04d4601e118126a7b37ab7d7610e0d2957ad19cc7af3a20022a131,203263,1200,904,1.327434,1.0848,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:06:42,MediaTek Camera Application,False,,False,198.201,61.265,157.454,soft,e85a8a8a96a53865695ae7da25f19e1e9a0779e86978269734969c78c34b59c5,c0678023831e021c0ce7103d213f000f001f008f223f007f0c8f003f006e801e,ffffe3c181c1ffff,ffffe1c080c1e1c0,06580001000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00006.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00006.jpg,.jpg,JPEG,image/jpeg,aeae41c29b6224388d7fb3cdae5ace81ebc523f22370cc7503675a0dfafba5e6,164498,1200,904,1.327434,1.0848,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:06:49,MediaTek Camera Application,False,,False,178.443,49.626,107.715,soft,eb526c3195ad91c278527a2de7ad65509c5a9ead428573d421586f2a5c8f98f5,81230387030a03230c3f20fe009388b702a6007f00ee03c60607043610ea72e6,ffffe180c1e7ffff,fffdc080c0c1f0e3,06180002000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00007.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00007.jpg,.jpg,JPEG,image/jpeg,ecbc8f0f48ad8f37cd74f1146716761095d5534f48064b7ecdebd2e96918b10e,370478,1200,1594,0.752823,1.9128,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:12:18,MediaTek Camera Application,False,,False,196.728,62.097,131.262,soft,b0f2c8cdcb0d6d96cdb6b2c38cd1332c64cf3323324e6db331369999933398c9,02600da001df10ef026f26f726f7027503bb01be07b702b7027f00ff01ff066f,ffe7c7c383c3c7ef,ffc78303038387c7,071c0000000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00008.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00008.jpg,.jpg,JPEG,image/jpeg,42f72e312a10eecb24150fa85378e748a978b75b78c3499682e5199e93fe252b,334948,1200,1594,0.752823,1.9128,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:22:18,MediaTek Camera Application,False,,False,200.633,51.126,134.764,soft,b6d2db2dcd0d24f29b6d334d99b6ccd964c1c7643362999ac4cd3062ce662333,80bc801e404b21ba227903b600df046f043604b700f700b702f7026f0b1e0336,ffffefc78383c3ff,ffff8703030303c3,072c0002000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00009.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00009.jpg,.jpg,JPEG,image/jpeg,8ecb3d2268a554a025377c79f36cf19af605b7acb721ed2ff6fde67e7437f9fc,299323,1200,1594,0.752823,1.9128,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:22:54,MediaTek Camera Application,False,,False,189.165,40.338,82.473,blurry,b6ccd931c93166cf3d9bb324330cc992666364d93366737ccd9bcce3844d0266,d01ec936490ac086c62fc1d701e6017602360277027e006e40ff6297615ae19b,ffffefc3c3c3e7ff,ffff47030101c3c3,074c0002000
v3_local_archive,1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,tea_algal_leaf_spot_00010.jpg,.jpg,JPEG,image/jpeg,17d5705b9fe34bf00ba491ce6f1c807060fd7e0b2dd855db993201522a8d20a2,400393,1200,1594,0.752823,1.9128,RGB,True,ok,False,True,Xiaomi,23053RN02A,1,2024:06:07 15:22:59,MediaTek Camera Application,False,,False,184.816,39.73,78.819,blurry,b38b9924ce34649b38c33264331cc9b66733ccd94ce758c9c98c733639b96673,906e8216835f45ae09cf01e7836f8376833683b781b389ffc0ff807f00af8437,ffffc7c7c3c3e7ff,ffff8181c1818387,060c0002000
