relative_path,class_folder_raw,normalized_class,group_id,sha256
1. Tea algal leaf spot/tea_algal_leaf_spot_00001.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00044,2e689ef2757f55461ce6701f9c26e8c993aa6e97548082aab0513db5aa4bc832
1. Tea algal leaf spot/tea_algal_leaf_spot_00002.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00045,2ca979af9953ccf0872646a2cc6e66fa5409b4089295616da473f31f0351b3e4
1. Tea algal leaf spot/tea_algal_leaf_spot_00003.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00046,d3ce85f9ddba3b11fe1848badf3698de2949081a681dbd5f2393c2650319d937
1. Tea algal leaf spot/tea_algal_leaf_spot_00004.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00047,c32544453e75ec19ca52e7f07635c061411711bf2fe74ec3de1eaf7f320e0b99
1. Tea algal leaf spot/tea_algal_leaf_spot_00005.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00048,72bf05944d04d4601e118126a7b37ab7d7610e0d2957ad19cc7af3a20022a131
1. Tea algal leaf spot/tea_algal_leaf_spot_00007.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00050,ecbc8f0f48ad8f37cd74f1146716761095d5534f48064b7ecdebd2e96918b10e
1. Tea algal leaf spot/tea_algal_leaf_spot_00008.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00051,42f72e312a10eecb24150fa85378e748a978b75b78c3499682e5199e93fe252b
1. Tea algal leaf spot/tea_algal_leaf_spot_00009.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00052,8ecb3d2268a554a025377c79f36cf19af605b7acb721ed2ff6fde67e7437f9fc
1. Tea algal leaf spot/tea_algal_leaf_spot_00010.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00053,17d5705b9fe34bf00ba491ce6f1c807060fd7e0b2dd855db993201522a8d20a2
1. Tea algal leaf spot/tea_algal_leaf_spot_00012.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00055,5ed1719f0fce149c090c1f5cff3eb28323a70cdfeb1d846e6a6a990746c76619
1. Tea algal leaf spot/tea_algal_leaf_spot_00013.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00056,dea7648f54fe0acc1bd64987fcd45747fe2581d1dbbb1412b1c2eddbc3def621
1. Tea algal leaf spot/tea_algal_leaf_spot_00014.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00057,98b5fa7f3a4cadd8c8b8bec4f9e6c2e2d5a238b6cdc7ea5329f756dee8cb9037
1. Tea algal leaf spot/tea_algal_leaf_spot_00015.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00058,3d7f28062d6eed0b12391aba156dfe92dd43fe376b803e9fb3f28edb132699ad
1. Tea algal leaf spot/tea_algal_leaf_spot_00016.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00059,9ec83922bda6211ae9bf69fcf13da487b043879fa11f6fa882fe554207ba7446
1. Tea algal leaf spot/tea_algal_leaf_spot_00017.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00060,cea0a71b0730f344dfa500e14b6b5b3ceab82921ae49b5e833af26feb4c0bf90
1. Tea algal leaf spot/tea_algal_leaf_spot_00019.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00062,ccfb3cf1713bab1a61162936c4892bf1def8189cbf68efeaab950200ac89b966
1. Tea algal leaf spot/tea_algal_leaf_spot_00022.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00065,1bb07013ca92ed2afa6217d4bd46e5f7a6c2cdb486e9de56ac6c12001fcc2007
1. Tea algal leaf spot/tea_algal_leaf_spot_00024.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00067,eaed4db0938b1439abcefdf2cf76519eb53016b340eac203a7daeb95b52bf9a1
1. Tea algal leaf spot/tea_algal_leaf_spot_00025.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00068,ae0c8c5f64082a266d504aee6cdecfcf5e863ccf9a9057560e97fa09f08c6d7c
1. Tea algal leaf spot/tea_algal_leaf_spot_00026.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00069,fad32900d30e76cb22b2b0accf1b07a85b52c9a0d32d1d771218dd3d6e6174d7
1. Tea algal leaf spot/tea_algal_leaf_spot_00027.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00070,18c255f772653280c2666610027e89bc8cfd3ad6e29a635c990bd7c9e41ee398
1. Tea algal leaf spot/tea_algal_leaf_spot_00028.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00071,7a68f4711d61e1d6a0950c81a6f5ad28e8c46d9fef1fef610f43f77da6deb93f
1. Tea algal leaf spot/tea_algal_leaf_spot_00029.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00072,9a4d558de6aab77d665a73ffd376c82cf03705cfa0fe706605f3a6e77cd5372b
1. Tea algal leaf spot/tea_algal_leaf_spot_00031.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00074,92e99db5baf7448f5a71520a8453c911aa33e54c389fe9c8c355f835fe5eded1
1. Tea algal leaf spot/tea_algal_leaf_spot_00033.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00076,9b21843a7ff7cd05c97baf8903cbd151f04a39eeb775bc6892b79bd84f5be5ed
1. Tea algal leaf spot/tea_algal_leaf_spot_00035.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00078,9b816fbb749cff7186a3dd5966ad6a9b6f7f7181d6918c470feacd7bc7018316
1. Tea algal leaf spot/tea_algal_leaf_spot_00036.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00079,b0dff0b25bd408d704f09b252a25e7aa2764a1e52582f5d7b4fb20af5f2e419b
1. Tea algal leaf spot/tea_algal_leaf_spot_00037.jpg,1. Tea algal leaf spot,tea_algal_leaf_spot,G00080,35dc92f3591857a7ff0a8721ee90960a459bc77faddf016b87877ccd07a20572
