test_index,true,pred,correct,confidence_calibrated,answered,mask_basis,mask_status,leaf_area_fraction,mask_touches_border,flagged,zero_map,cam_mass_on_leaf,concentration_ratio,cam_mass_on_leaf_dilated,concentration_ratio_dilated,peak_on_leaf,peak_on_leaf_dilated
0,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9345386300043079,True,lab_distance_from_border_median,ok,0.19062898596938777,False,False,False,0.6623690128326416,3.4746500353257317,0.7119178771972656,3.2129152191266415,True,True
1,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.875672037001667,True,lab_distance_from_border_median,ok,0.12908561862244897,False,False,False,0.6229133605957031,4.8255829521769344,0.6850587129592896,4.531176638735211,True,True
2,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9835272528382314,True,lab_distance_from_border_median,ok,0.14142219387755103,False,False,False,0.6077879667282104,4.297684472738823,0.6755144596099854,4.05777726869276,True,True
3,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9995805626454157,True,lab_distance_from_border_median,ok,0.13791454081632654,False,False,False,0.6522523164749146,4.729394831133716,0.7108646631240845,4.420964964912502,True,True
4,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9907218895122245,True,lab_distance_from_border_median,ok,0.08701371173469388,False,False,False,0.585570752620697,6.729637673727918,0.6530776023864746,6.152613927402131,True,True
5,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9935046720573334,True,lab_distance_from_border_median,ok,0.16501913265306123,False,False,False,0.727484405040741,4.408485206198577,0.7825204133987427,4.08019788659413,True,True
6,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9989647133963163,True,lab_distance_from_border_median,ok,0.2100207270408163,False,False,False,0.7217214107513428,3.436429446371169,0.774325966835022,3.2120188253897206,True,True
7,1. Tea algal leaf spot,7. Healthy leaf,False,0.6902570223751302,False,lab_distance_from_border_median,ok,0.08729272959183673,False,False,False,0.46197202801704407,5.292216547439088,0.5509092807769775,4.866623956384793,True,True
8,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.8059922740024924,True,lab_distance_from_border_median,ok,0.07898198341836735,False,False,False,0.5757955312728882,7.29021362027465,0.653457760810852,6.724343028393214,True,True
9,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.6399277503326494,False,lab_distance_from_border_median,ok,0.14795918367346939,False,False,False,0.6458323001861572,4.364935546085753,0.7107553482055664,4.115736913048182,True,True
10,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.8072655612963816,True,lab_distance_from_border_median,ok,0.1660754145408163,False,False,False,0.6471666097640991,3.896823690330426,0.7091408967971802,3.666342466532232,True,True
11,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9117111755925467,True,lab_distance_from_border_median,ok,0.7741948341836735,True,True,False,0.8466023206710815,1.0935261813826953,0.9136463403701782,1.0941078466447272,True,True
12,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.915681673913908,True,lab_distance_from_border_median,ok,0.4653220663265306,True,True,False,0.3772800862789154,0.8107934559333073,0.49540525674819946,0.8838520182974561,False,False
13,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9703201796998421,True,lab_distance_from_border_median,ok,0.14634486607142858,False,False,False,0.51930171251297,3.5484791947502083,0.5841785073280334,3.356050009582254,True,True
14,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.995385697840328,True,lab_distance_from_border_median,ok,0.10094467474489796,False,False,False,0.46497583389282227,4.606244312222359,0.5234527587890625,4.349191194734227,True,True
15,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9402407663251844,True,lab_distance_from_border_median,ok,0.11029177295918367,False,False,False,0.4719495177268982,4.279099927984251,0.5656086802482605,4.051389170611951,True,True
16,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9684107652243796,True,lab_distance_from_border_median,ok,0.10606664540816327,False,False,False,0.5073344707489014,4.783166930533047,0.5805637240409851,4.495426761956862,True,True
17,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9935289656401832,True,saturation,ok,0.13938934948979592,False,False,False,0.541650652885437,3.8858826364283225,0.6069289445877075,3.6331742691043685,True,True
18,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.9983340744215399,True,saturation,ok,0.08304767219387756,False,False,False,0.37682127952575684,4.537409292412857,0.48618102073669434,4.353849526411632,True,True
19,1. Tea algal leaf spot,1. Tea algal leaf spot,True,0.8815017942751492,True,lab_distance_from_border_median,ok,0.09249441964285714,False,False,False,0.41560041904449463,4.493248572716347,0.48876476287841797,4.253991455713357,True,True
